t,x,y,z,heading,roll,task,state
0.000,7.0000,7.4453,0.1000,0.00,0.00,WAITING,Press Start to begin
0.050,7.0000,7.4453,0.0997,0.00,0.00,WAITING,Press Start to begin
0.066,7.0000,7.4453,0.0995,0.00,0.00,WAITING,Press Start to begin
0.082,7.0000,7.4453,0.0994,0.00,0.00,WAITING,Press Start to begin
0.099,7.0000,7.4453,0.0992,0.00,0.00,WAITING,Press Start to begin
0.114,7.0000,7.4453,0.0990,0.00,0.00,WAITING,Press Start to begin
0.130,7.0000,7.4453,0.0988,0.00,0.00,WAITING,Press Start to begin
0.146,7.0000,7.4453,0.0986,0.00,0.00,WAITING,Press Start to begin
0.163,7.0000,7.4453,0.0983,0.00,0.00,WAITING,Press Start to begin
0.178,7.0000,7.4453,0.0981,0.00,0.00,WAITING,Press Start to begin
0.195,7.0000,7.4453,0.0977,0.00,0.00,WAITING,Press Start to begin
0.210,7.0000,7.4453,0.0974,0.00,0.00,WAITING,Press Start to begin
0.226,7.0000,7.4453,0.0971,0.00,0.00,WAITING,Press Start to begin
0.241,7.0000,7.4453,0.0967,0.00,0.00,WAITING,Press Start to begin
0.259,7.0000,7.4453,0.0963,0.00,0.00,WAITING,Press Start to begin
0.274,7.0000,7.4453,0.0959,0.00,0.00,WAITING,Press Start to begin
0.290,7.0000,7.4453,0.0955,0.00,0.00,WAITING,Press Start to begin
0.306,7.0000,7.4453,0.0950,0.00,0.00,WAITING,Press Start to begin
0.322,7.0000,7.4453,0.0945,0.00,0.00,WAITING,Press Start to begin
0.338,7.0000,7.4453,0.0940,0.00,0.00,WAITING,Press Start to begin
0.355,7.0000,7.4453,0.0935,0.00,0.00,WAITING,Press Start to begin
0.370,7.0000,7.4453,0.0929,0.00,0.00,WAITING,Press Start to begin
0.386,7.0000,7.4453,0.0924,0.00,0.00,WAITING,Press Start to begin
0.402,7.0000,7.4453,0.0918,0.00,0.00,WAITING,Press Start to begin
0.419,7.0000,7.4453,0.0912,0.00,0.00,WAITING,Press Start to begin
0.434,7.0000,7.4453,0.0906,0.00,0.00,WAITING,Press Start to begin
0.451,7.0000,7.4453,0.0899,0.00,0.00,WAITING,Press Start to begin
0.466,7.0000,7.4453,0.0892,0.00,0.00,WAITING,Press Start to begin
0.483,7.0000,7.4453,0.0886,0.00,0.00,WAITING,Press Start to begin
0.498,7.0000,7.4453,0.0878,0.00,0.00,WAITING,Press Start to begin
0.514,7.0000,7.4453,0.0871,0.00,0.00,WAITING,Press Start to begin
0.559,7.0000,7.4453,0.0849,0.00,0.00,WAITING,Press Start to begin
0.575,7.0000,7.4453,0.0841,0.00,0.00,WAITING,Press Start to begin
0.591,7.0000,7.4453,0.0833,0.00,0.00,WAITING,Press Start to begin
0.607,7.0000,7.4453,0.0825,0.00,0.00,WAITING,Press Start to begin
0.623,7.0000,7.4453,0.0816,0.00,0.00,WAITING,Press Start to begin
0.640,7.0000,7.4453,0.0808,0.00,0.00,WAITING,Press Start to begin
0.655,7.0000,7.4453,0.0799,0.00,0.00,WAITING,Press Start to begin
0.671,7.0000,7.4453,0.0790,0.00,0.00,WAITING,Press Start to begin
0.687,7.0000,7.4453,0.0781,0.00,0.00,WAITING,Press Start to begin
0.703,7.0000,7.4453,0.0771,0.00,0.00,WAITING,Press Start to begin
0.719,7.0000,7.4453,0.0762,0.00,0.00,WAITING,Press Start to begin
0.736,7.0000,7.4453,0.0752,0.00,0.00,WAITING,Press Start to begin
0.751,7.0000,7.4453,0.0742,0.00,0.00,WAITING,Press Start to begin
0.768,7.0000,7.4453,0.0731,0.00,0.00,WAITING,Press Start to begin
0.784,7.0000,7.4453,0.0721,0.00,0.00,WAITING,Press Start to begin
0.800,7.0000,7.4453,0.0711,0.00,0.00,WAITING,Press Start to begin
0.816,7.0000,7.4453,0.0701,0.00,0.00,WAITING,Press Start to begin
0.832,7.0000,7.4453,0.0690,0.00,0.00,WAITING,Press Start to begin
0.848,7.0000,7.4453,0.0679,0.00,0.00,WAITING,Press Start to begin
0.865,7.0000,7.4453,0.0668,0.00,0.00,WAITING,Press Start to begin
0.881,7.0000,7.4453,0.0657,0.00,0.00,WAITING,Press Start to begin
0.898,7.0000,7.4453,0.0645,0.00,0.00,WAITING,Press Start to begin
0.914,7.0000,7.4453,0.0633,0.00,0.00,WAITING,Press Start to begin
