t,x,y,z,heading,roll,task,state
0.000,7.0000,7.7711,0.1000,0.00,0.00,WAITING,Press Start to begin
0.053,7.0000,7.7711,0.0996,0.00,0.00,WAITING,Press Start to begin
0.069,7.0000,7.7711,0.0995,0.00,0.00,WAITING,Press Start to begin
0.084,7.0000,7.7711,0.0994,0.00,0.00,WAITING,Press Start to begin
0.101,7.0000,7.7711,0.0992,0.00,0.00,WAITING,Press Start to begin
0.116,7.0000,7.7711,0.0990,0.00,0.00,WAITING,Press Start to begin
0.133,7.0000,7.7711,0.0988,0.00,0.00,WAITING,Press Start to begin
0.149,7.0000,7.7711,0.0985,0.00,0.00,WAITING,Press Start to begin
0.165,7.0000,7.7711,0.0983,0.00,0.00,WAITING,Press Start to begin
0.180,7.0000,7.7711,0.0980,0.00,0.00,WAITING,Press Start to begin
0.197,7.0000,7.7711,0.0977,0.00,0.00,WAITING,Press Start to begin
0.214,7.0000,7.7711,0.0973,0.00,0.00,WAITING,Press Start to begin
0.230,7.0000,7.7711,0.0970,0.00,0.00,WAITING,Press Start to begin
0.245,7.0000,7.7711,0.0966,0.00,0.00,WAITING,Press Start to begin
0.262,7.0000,7.7711,0.0962,0.00,0.00,WAITING,Press Start to begin
0.278,7.0000,7.7711,0.0958,0.00,0.00,WAITING,Press Start to begin
0.294,7.0000,7.7711,0.0953,0.00,0.00,WAITING,Press Start to begin
0.309,7.0000,7.7711,0.0949,0.00,0.00,WAITING,Press Start to begin
0.326,7.0000,7.7711,0.0944,0.00,0.00,WAITING,Press Start to begin
0.342,7.0000,7.7711,0.0939,0.00,0.00,WAITING,Press Start to begin
0.358,7.0000,7.7711,0.0933,0.00,0.00,WAITING,Press Start to begin
0.373,7.0000,7.7711,0.0928,0.00,0.00,WAITING,Press Start to begin
0.390,7.0000,7.7711,0.0922,0.00,0.00,WAITING,Press Start to begin
0.407,7.0000,7.7711,0.0916,0.00,0.00,WAITING,Press Start to begin
0.424,7.0000,7.7711,0.0909,0.00,0.00,WAITING,Press Start to begin
0.440,7.0000,7.7711,0.0903,0.00,0.00,WAITING,Press Start to begin
0.457,7.0000,7.7711,0.0896,0.00,0.00,WAITING,Press Start to begin
0.472,7.0000,7.7711,0.0889,0.00,0.00,WAITING,Press Start to begin
0.489,7.0000,7.7711,0.0882,0.00,0.00,WAITING,Press Start to begin
0.504,7.0000,7.7711,0.0875,0.00,0.00,WAITING,Press Start to begin
0.551,7.0000,7.7711,0.0853,0.00,0.00,WAITING,Press Start to begin
0.566,7.0000,7.7711,0.0845,0.00,0.00,WAITING,Press Start to begin
0.583,7.0000,7.7711,0.0837,0.00,0.00,WAITING,Press Start to begin
0.599,7.0000,7.7711,0.0828,0.00,0.00,WAITING,Press Start to begin
0.615,7.0000,7.7711,0.0820,0.00,0.00,WAITING,Press Start to begin
0.630,7.0000,7.7711,0.0811,0.00,0.00,WAITING,Press Start to begin
0.647,7.0000,7.7711,0.0802,0.00,0.00,WAITING,Press Start to begin
0.663,7.0000,7.7711,0.0793,0.00,0.00,WAITING,Press Start to begin
0.679,7.0000,7.7711,0.0784,0.00,0.00,WAITING,Press Start to begin
0.694,7.0000,7.7711,0.0775,0.00,0.00,WAITING,Press Start to begin
0.711,7.0000,7.7711,0.0766,0.00,0.00,WAITING,Press Start to begin
0.727,7.0000,7.7711,0.0756,0.00,0.00,WAITING,Press Start to begin
0.743,7.0000,7.7711,0.0746,0.00,0.00,WAITING,Press Start to begin
0.759,7.0000,7.7711,0.0736,0.00,0.00,WAITING,Press Start to begin
0.775,7.0000,7.7711,0.0726,0.00,0.00,WAITING,Press Start to begin
0.790,7.0000,7.7711,0.0716,0.00,0.00,WAITING,Press Start to begin
0.807,7.0000,7.7711,0.0706,0.00,0.00,WAITING,Press Start to begin
0.822,7.0000,7.7711,0.0695,0.00,0.00,WAITING,Press Start to begin
0.839,7.0000,7.7711,0.0685,0.00,0.00,WAITING,Press Start to begin
0.855,7.0000,7.7711,0.0674,0.00,0.00,WAITING,Press Start to begin
0.871,7.0000,7.7711,0.0663,0.00,0.00,WAITING,Press Start to begin
0.887,7.0000,7.7711,0.0652,0.00,0.00,WAITING,Press Start to begin
0.903,7.0000,7.7711,0.0641,0.00,0.00,WAITING,Press Start to begin
0.918,7.0000,7.7711,0.0630,0.00,0.00,WAITING,Press Start to begin
0.935,7.0000,7.7711,0.0618,0.00,0.00,WAITING,Press Start to begin
0.950,7.0000,7.7711,0.0607,0.00,0.00,WAITING,Press Start to begin
0.967,7.0000,7.7711,0.0595,0.00,0.00,WAITING,Press Start to begin
0.983,7.0000,7.7711,0.0582,0.00,0.00,WAITING,Press Start to begin
1.000,7.0000,7.7711,0.0570,0.00,0.00,WAITING,Press Start to begin
1.015,7.0000,7.7711,0.0558,0.00,0.00,WAITING,Press Start to begin
1.063,7.0000,7.7711,0.0522,0.00,0.00,WAITING,Press Start to begin
1.079,7.0000,7.7711,0.0509,0.00,0.00,WAITING,Press Start to begin
1.095,7.0000,7.7711,0.0496,0.00,0.00,WAITING,Press Start to begin
1.111,7.0000,7.7711,0.0484,0.00,0.00,WAITING,Press Start to begin
1.127,7.0000,7.7711,0.0471,0.00,0.00,WAITING,Press Start to begin
1.142,7.0000,7.7711,0.0458,0.00,0.00,WAITING,Press Start to begin
1.159,7.0000,7.7711,0.0445,0.00,0.00,WAITING,Press Start to begin
1.175,7.0000,7.7711,0.0431,0.00,0.00,WAITING,Press Start to begin
1.192,7.0000,7.7711,0.0417,0.00,0.00,WAITING,Press Start to begin
1.208,7.0000,7.7711,0.0404,0.00,0.00,WAITING,Press Start to begin
1.224,7.0000,7.7711,0.0391,0.00,0.00,WAITING,Press Start to begin
1.239,7.0000,7.7711,0.0377,0.00,0.00,WAITING,Press Start to begin
1.256,7.0000,7.7711,0.0364,0.00,0.00,WAITING,Press Start to begin
1.272,7.0000,7.7711,0.0350,0.00,0.00,WAITING,Press Start to begin
1.288,7.0000,7.7711,0.0336,0.00,0.00,WAITING,Press Start to begin
1.303,7.0000,7.7711,0.0322,0.00,0.00,WAITING,Press Start to begin
1.320,7.0000,7.7711,0.0307,0.00,0.00,WAITING,Press Start to begin
1.337,7.0000,7.7711,0.0293,0.00,0.00,WAITING,Press Start to begin
1.353,7.0000,7.7711,0.0279,0.00,0.00,WAITING,Press Start to begin
1.369,7.0000,7.7711,0.0265,0.00,0.00,WAITING,Press Start to begin
1.385,7.0000,7.7711,0.0251,0.00,0.00,WAITING,Press Start to begin
1.400,7.0000,7.7711,0.0236,0.00,0.00,WAITING,Press Start to begin
1.417,7.0000,7.7711,0.0222,0.00,0.00,WAITING,Press Start to begin
1.433,7.0000,7.7711,0.0207,0.00,0.00,WAITING,Press Start to begin
1.449,7.0000,7.7711,0.0192,0.00,0.00,WAITING,Press Start to begin
1.466,7.0000,7.7711,0.0177,0.00,0.00,WAITING,Press Start to begin
1.482,7.0000,7.7711,0.0163,0.00,0.00,WAITING,Press Start to begin
1.497,7.0000,7.7711,0.0148,0.00,0.00,WAITING,Press Start to begin
1.514,7.0000,7.7711,0.0132,0.00,0.00,WAITING,Press Start to begin
1.529,7.0000,7.7711,0.0117,0.00,0.00,WAITING,Press Start to begin
1.576,7.0000,7.7711,0.0074,0.00,0.00,WAITING,Press Start to begin
1.591,7.0000,7.7711,0.0059,0.00,0.00,WAITING,Press Start to begin
1.608,7.0000,7.7711,0.0044,0.00,0.00,WAITING,Press Start to begin
1.624,7.0000,7.7711,0.0029,0.00,0.00,WAITING,Press Start to begin
1.640,7.0000,7.7711,0.0014,0.00,0.00,WAITING,Press Start to begin
1.656,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.672,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.688,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.705,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.720,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.737,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.753,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.769,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.786,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.802,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.817,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.834,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.850,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.867,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.883,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.899,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.915,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.931,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.947,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.962,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.979,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
1.995,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.010,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.027,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.042,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.089,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.105,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.122,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.137,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.154,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.169,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.186,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.201,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.218,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.233,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.249,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
2.266,7.0000,7.7711,0.0000,0.00,0.00,WAITING,Press Start to begin
