t,x,y,z,heading,roll,task,state
1.368,7.0000,7.8996,0.0265,0.00,0.00,WAITING,Press Start to begin
1.385,7.0000,7.8996,0.0251,0.00,0.00,WAITING,Press Start to begin
1.400,7.0000,7.8996,0.0236,0.00,0.00,WAITING,Press Start to begin
1.416,7.0000,7.8996,0.0222,0.00,0.00,WAITING,Press Start to begin
1.432,7.0000,7.8996,0.0208,0.00,0.00,WAITING,Press Start to begin
1.448,7.0000,7.8996,0.0193,0.00,0.00,WAITING,Press Start to begin
1.464,7.0000,7.8996,0.0178,0.00,0.00,WAITING,Press Start to begin
1.480,7.0000,7.8996,0.0164,0.00,0.00,WAITING,Press Start to begin
1.496,7.0000,7.8996,0.0149,0.00,0.00,WAITING,Press Start to begin
1.513,7.0000,7.8996,0.0134,0.00,0.00,WAITING,Press Start to begin
1.528,7.0000,7.8996,0.0119,0.00,0.00,WAITING,Press Start to begin
1.545,7.0000,7.8996,0.0103,0.00,0.00,WAITING,Press Start to begin
1.591,7.0000,7.8996,0.0060,0.00,0.00,WAITING,Press Start to begin
1.607,7.0000,7.8996,0.0045,0.00,0.00,WAITING,Press Start to begin
1.623,7.0000,7.8996,0.0030,0.00,0.00,WAITING,Press Start to begin
1.639,7.0000,7.8996,0.0014,0.00,0.00,WAITING,Press Start to begin
1.655,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.672,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.687,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.704,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.719,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.735,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.751,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.768,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.783,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.800,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.815,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.832,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.847,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.864,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.879,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.896,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.911,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.927,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.943,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.960,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.976,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
1.992,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.008,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.024,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.040,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.056,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.114,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.131,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.146,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.163,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.178,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.194,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.209,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.226,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.242,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.259,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.274,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.291,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.306,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.322,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.337,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.354,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.369,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.386,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.402,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.419,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.434,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.450,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.466,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.483,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.498,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.515,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.531,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.547,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.563,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.610,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.625,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.641,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.657,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.673,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.689,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.706,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.722,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.738,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.754,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.770,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.786,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.802,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.818,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.835,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
2.850,7.0000,7.8996,0.0000,0.00,0.00,WAITING,Press Start to begin
