t,x,y,z,heading,roll,task,state
0.000,7.0000,7.1598,0.1000,0.00,0.00,WAITING,Press Start to begin
0.061,7.0000,7.1598,0.0995,0.00,0.00,WAITING,Press Start to begin
0.077,7.0000,7.1598,0.0994,0.00,0.00,WAITING,Press Start to begin
0.093,7.0000,7.1598,0.0992,0.00,0.00,WAITING,Press Start to begin
0.110,7.0000,7.1598,0.0991,0.00,0.00,WAITING,Press Start to begin
0.125,7.0000,7.1598,0.0989,0.00,0.00,WAITING,Press Start to begin
0.141,7.0000,7.1598,0.0986,0.00,0.00,WAITING,Press Start to begin
0.157,7.0000,7.1598,0.0984,0.00,0.00,WAITING,Press Start to begin
0.173,7.0000,7.1598,0.0981,0.00,0.00,WAITING,Press Start to begin
0.189,7.0000,7.1598,0.0978,0.00,0.00,WAITING,Press Start to begin
0.205,7.0000,7.1598,0.0975,0.00,0.00,WAITING,Press Start to begin
0.221,7.0000,7.1598,0.0971,0.00,0.00,WAITING,Press Start to begin
0.238,7.0000,7.1598,0.0968,0.00,0.00,WAITING,Press Start to begin
0.253,7.0000,7.1598,0.0964,0.00,0.00,WAITING,Press Start to begin
0.269,7.0000,7.1598,0.0960,0.00,0.00,WAITING,Press Start to begin
0.285,7.0000,7.1598,0.0955,0.00,0.00,WAITING,Press Start to begin
0.302,7.0000,7.1598,0.0951,0.00,0.00,WAITING,Press Start to begin
0.318,7.0000,7.1598,0.0946,0.00,0.00,WAITING,Press Start to begin
0.335,7.0000,7.1598,0.0941,0.00,0.00,WAITING,Press Start to begin
0.350,7.0000,7.1598,0.0936,0.00,0.00,WAITING,Press Start to begin
0.367,7.0000,7.1598,0.0930,0.00,0.00,WAITING,Press Start to begin
0.383,7.0000,7.1598,0.0924,0.00,0.00,WAITING,Press Start to begin
0.399,7.0000,7.1598,0.0918,0.00,0.00,WAITING,Press Start to begin
0.415,7.0000,7.1598,0.0912,0.00,0.00,WAITING,Press Start to begin
0.431,7.0000,7.1598,0.0906,0.00,0.00,WAITING,Press Start to begin
0.447,7.0000,7.1598,0.0900,0.00,0.00,WAITING,Press Start to begin
0.463,7.0000,7.1598,0.0893,0.00,0.00,WAITING,Press Start to begin
0.479,7.0000,7.1598,0.0886,0.00,0.00,WAITING,Press Start to begin
0.495,7.0000,7.1598,0.0879,0.00,0.00,WAITING,Press Start to begin
0.511,7.0000,7.1598,0.0872,0.00,0.00,WAITING,Press Start to begin
0.561,7.0000,7.1598,0.0848,0.00,0.00,WAITING,Press Start to begin
0.577,7.0000,7.1598,0.0840,0.00,0.00,WAITING,Press Start to begin
0.592,7.0000,7.1598,0.0831,0.00,0.00,WAITING,Press Start to begin
0.608,7.0000,7.1598,0.0823,0.00,0.00,WAITING,Press Start to begin
0.625,7.0000,7.1598,0.0815,0.00,0.00,WAITING,Press Start to begin
0.640,7.0000,7.1598,0.0806,0.00,0.00,WAITING,Press Start to begin
0.656,7.0000,7.1598,0.0797,0.00,0.00,WAITING,Press Start to begin
0.672,7.0000,7.1598,0.0788,0.00,0.00,WAITING,Press Start to begin
0.689,7.0000,7.1598,0.0779,0.00,0.00,WAITING,Press Start to begin
0.704,7.0000,7.1598,0.0769,0.00,0.00,WAITING,Press Start to begin
0.720,7.0000,7.1598,0.0760,0.00,0.00,WAITING,Press Start to begin
0.736,7.0000,7.1598,0.0750,0.00,0.00,WAITING,Press Start to begin
0.753,7.0000,7.1598,0.0740,0.00,0.00,WAITING,Press Start to begin
0.768,7.0000,7.1598,0.0730,0.00,0.00,WAITING,Press Start to begin
0.784,7.0000,7.1598,0.0720,0.00,0.00,WAITING,Press Start to begin
0.800,7.0000,7.1598,0.0710,0.00,0.00,WAITING,Press Start to begin
0.817,7.0000,7.1598,0.0699,0.00,0.00,WAITING,Press Start to begin
0.833,7.0000,7.1598,0.0689,0.00,0.00,WAITING,Press Start to begin
0.849,7.0000,7.1598,0.0678,0.00,0.00,WAITING,Press Start to begin
0.865,7.0000,7.1598,0.0667,0.00,0.00,WAITING,Press Start to begin
0.882,7.0000,7.1598,0.0656,0.00,0.00,WAITING,Press Start to begin
0.897,7.0000,7.1598,0.0645,0.00,0.00,WAITING,Press Start to begin
0.913,7.0000,7.1598,0.0633,0.00,0.00,WAITING,Press Start to begin
0.928,7.0000,7.1598,0.0622,0.00,0.00,WAITING,Press Start to begin
0.945,7.0000,7.1598,0.0610,0.00,0.00,WAITING,Press Start to begin
0.961,7.0000,7.1598,0.0599,0.00,0.00,WAITING,Press Start to begin
0.977,7.0000,7.1598,0.0587,0.00,0.00,WAITING,Press Start to begin
0.993,7.0000,7.1598,0.0575,0.00,0.00,WAITING,Press Start to begin
1.010,7.0000,7.1598,0.0562,0.00,0.00,WAITING,Press Start to begin
1.026,7.0000,7.1598,0.0549,0.00,0.00,WAITING,Press Start to begin
1.077,7.0000,7.1598,0.0511,0.00,0.00,WAITING,Press Start to begin
1.092,7.0000,7.1598,0.0498,0.00,0.00,WAITING,Press Start to begin
1.108,7.0000,7.1598,0.0485,0.00,0.00,WAITING,Press Start to begin
1.123,7.0000,7.1598,0.0473,0.00,0.00,WAITING,Press Start to begin
1.140,7.0000,7.1598,0.0460,0.00,0.00,WAITING,Press Start to begin
1.156,7.0000,7.1598,0.0447,0.00,0.00,WAITING,Press Start to begin
1.172,7.0000,7.1598,0.0434,0.00,0.00,WAITING,Press Start to begin
1.187,7.0000,7.1598,0.0420,0.00,0.00,WAITING,Press Start to begin
1.204,7.0000,7.1598,0.0407,0.00,0.00,WAITING,Press Start to begin
1.220,7.0000,7.1598,0.0394,0.00,0.00,WAITING,Press Start to begin
1.236,7.0000,7.1598,0.0380,0.00,0.00,WAITING,Press Start to begin
1.251,7.0000,7.1598,0.0366,0.00,0.00,WAITING,Press Start to begin
1.268,7.0000,7.1598,0.0353,0.00,0.00,WAITING,Press Start to begin
1.284,7.0000,7.1598,0.0339,0.00,0.00,WAITING,Press Start to begin
1.300,7.0000,7.1598,0.0325,0.00,0.00,WAITING,Press Start to begin
1.316,7.0000,7.1598,0.0311,0.00,0.00,WAITING,Press Start to begin
