t,x,y,z,heading,roll,task,state
120.614,10.0167,8.6452,1.5560,0.89,-64.97,GateTask,GateTask[8]:StyleRollSubtask(-51/360 carry) T!1
120.630,10.0181,8.6445,1.5556,0.90,-63.92,GateTask,GateTask[8]:StyleRollSubtask(-51/360 carry) T!1
120.646,10.0195,8.6439,1.5552,0.93,-62.72,GateTask,GateTask[8]:StyleRollSubtask(-51/360 carry) T!1
120.662,10.0208,8.6433,1.5548,0.97,-61.37,GateTask,GateTask[8]:StyleRollSubtask(-51/360 carry) T!1
120.707,10.0247,8.6413,1.5534,0.89,-56.32,GateTask,GateTask[8]:StyleRollSubtask(-51/360 carry) T!1
120.723,10.0261,8.6407,1.5529,0.84,-54.45,GateTask,GateTask[8]:StyleRollSubtask(-50/360 pump) T!1
120.739,10.0274,8.6400,1.5524,0.76,-52.46,GateTask,GateTask[8]:StyleRollSubtask(-50/360 pump) T!1
120.756,10.0288,8.6393,1.5519,0.69,-50.38,GateTask,GateTask[8]:StyleRollSubtask(-50/360 pump) T!1
120.771,10.0302,8.6386,1.5513,0.62,-48.20,GateTask,GateTask[8]:StyleRollSubtask(-49/360 pump) T!1
120.787,10.0315,8.6379,1.5508,0.55,-45.95,GateTask,GateTask[8]:StyleRollSubtask(-49/360 pump) T!1
120.804,10.0329,8.6372,1.5503,0.49,-43.61,GateTask,GateTask[8]:StyleRollSubtask(-49/360 pump) T!1
120.819,10.0342,8.6366,1.5498,0.44,-41.22,GateTask,GateTask[8]:StyleRollSubtask(-46/360 pump) T!1
120.835,10.0356,8.6360,1.5494,0.39,-38.76,GateTask,GateTask[8]:StyleRollSubtask(-46/360 pump) T!1
120.852,10.0370,8.6354,1.5491,0.34,-36.26,GateTask,GateTask[8]:StyleRollSubtask(-46/360 pump) T!1
120.867,10.0383,8.6348,1.5488,0.30,-33.72,GateTask,GateTask[8]:StyleRollSubtask(-42/360 pump) T!1
120.884,10.0397,8.6343,1.5486,0.27,-31.14,GateTask,GateTask[8]:StyleRollSubtask(-42/360 pump) T!1
120.900,10.0410,8.6338,1.5484,0.25,-28.53,GateTask,GateTask[8]:StyleRollSubtask(-42/360 pump) T!1
120.916,10.0424,8.6334,1.5483,0.24,-25.90,GateTask,GateTask[8]:StyleRollSubtask(-37/360 pump) T!1
120.932,10.0437,8.6329,1.5483,0.25,-23.26,GateTask,GateTask[8]:StyleRollSubtask(-37/360 pump) T!1
120.949,10.0451,8.6325,1.5483,0.25,-20.61,GateTask,GateTask[8]:StyleRollSubtask(-37/360 pump) T!1
120.964,10.0464,8.6320,1.5483,0.25,-17.96,GateTask,GateTask[8]:StyleRollSubtask(-30/360 carry) T!1
120.980,10.0478,8.6316,1.5483,0.26,-15.32,GateTask,GateTask[8]:StyleRollSubtask(-30/360 carry) T!1
120.996,10.0491,8.6312,1.5483,0.27,-12.68,GateTask,GateTask[8]:StyleRollSubtask(-30/360 carry) T!1
121.012,10.0505,8.6308,1.5483,0.29,-10.05,GateTask,GateTask[8]:StyleRollSubtask(-23/360 carry) T!1
121.028,10.0518,8.6303,1.5483,0.32,-7.44,GateTask,GateTask[8]:StyleRollSubtask(-23/360 carry) T!1
121.044,10.0532,8.6299,1.5484,0.36,-4.84,GateTask,GateTask[8]:StyleRollSubtask(-23/360 carry) T!1
121.060,10.0545,8.6295,1.5484,0.41,-2.28,GateTask,GateTask[8]:StyleRollSubtask(-15/360 carry) T!1
121.076,10.0559,8.6291,1.5485,0.47,0.26,GateTask,GateTask[8]:StyleRollSubtask(-15/360 carry) T!1
121.093,10.0572,8.6287,1.5485,0.52,2.77,GateTask,GateTask[8]:StyleRollSubtask(-15/360 carry) T!1
121.108,10.0586,8.6283,1.5485,0.57,5.24,GateTask,GateTask[8]:StyleRollSubtask(-7/360 carry) T!1
121.123,10.0599,8.6278,1.5484,0.60,7.68,GateTask,GateTask[8]:StyleRollSubtask(-7/360 carry) T!1
121.140,10.0613,8.6274,1.5483,0.64,10.09,GateTask,GateTask[8]:StyleRollSubtask(-7/360 carry) T!1
121.156,10.0626,8.6270,1.5481,0.69,12.45,GateTask,GateTask[8]:StyleRollSubtask(-1/360 carry) T!1
121.172,10.0640,8.6266,1.5479,0.74,14.77,GateTask,GateTask[8]:StyleRollSubtask(-1/360 carry) T!1
121.219,10.0680,8.6254,1.5466,0.86,21.20,GateTask,GateTask[8]:StyleRollSubtask(-1/360 carry) T!1
