t,x,y,z,heading,roll,task,state
1.364,7.0000,7.0832,0.0269,0.00,0.00,WAITING,Press Start to begin
1.379,7.0000,7.0832,0.0254,0.00,0.00,WAITING,Press Start to begin
1.396,7.0000,7.0832,0.0240,0.00,0.00,WAITING,Press Start to begin
1.412,7.0000,7.0832,0.0226,0.00,0.00,WAITING,Press Start to begin
1.427,7.0000,7.0832,0.0211,0.00,0.00,WAITING,Press Start to begin
1.444,7.0000,7.0832,0.0197,0.00,0.00,WAITING,Press Start to begin
1.459,7.0000,7.0832,0.0182,0.00,0.00,WAITING,Press Start to begin
1.476,7.0000,7.0832,0.0167,0.00,0.00,WAITING,Press Start to begin
1.492,7.0000,7.0832,0.0153,0.00,0.00,WAITING,Press Start to begin
1.508,7.0000,7.0832,0.0138,0.00,0.00,WAITING,Press Start to begin
1.523,7.0000,7.0832,0.0123,0.00,0.00,WAITING,Press Start to begin
1.572,7.0000,7.0832,0.0078,0.00,0.00,WAITING,Press Start to begin
1.587,7.0000,7.0832,0.0063,0.00,0.00,WAITING,Press Start to begin
1.604,7.0000,7.0832,0.0048,0.00,0.00,WAITING,Press Start to begin
1.619,7.0000,7.0832,0.0033,0.00,0.00,WAITING,Press Start to begin
1.636,7.0000,7.0832,0.0017,0.00,0.00,WAITING,Press Start to begin
1.651,7.0000,7.0832,0.0002,0.00,0.00,WAITING,Press Start to begin
1.667,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.683,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.700,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.716,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.732,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.747,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.764,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.781,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.798,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.813,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.830,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.846,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.862,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
