t,x,y,z,heading,roll,task,state
0.000,7.0000,7.7068,0.1000,0.00,0.00,WAITING,Press Start to begin
0.050,7.0000,7.7068,0.0997,0.00,0.00,WAITING,Press Start to begin
0.066,7.0000,7.7068,0.0995,0.00,0.00,WAITING,Press Start to begin
0.082,7.0000,7.7068,0.0994,0.00,0.00,WAITING,Press Start to begin
0.098,7.0000,7.7068,0.0992,0.00,0.00,WAITING,Press Start to begin
0.114,7.0000,7.7068,0.0990,0.00,0.00,WAITING,Press Start to begin
0.131,7.0000,7.7068,0.0988,0.00,0.00,WAITING,Press Start to begin
0.146,7.0000,7.7068,0.0986,0.00,0.00,WAITING,Press Start to begin
0.162,7.0000,7.7068,0.0983,0.00,0.00,WAITING,Press Start to begin
0.178,7.0000,7.7068,0.0981,0.00,0.00,WAITING,Press Start to begin
0.194,7.0000,7.7068,0.0977,0.00,0.00,WAITING,Press Start to begin
0.210,7.0000,7.7068,0.0974,0.00,0.00,WAITING,Press Start to begin
0.226,7.0000,7.7068,0.0971,0.00,0.00,WAITING,Press Start to begin
0.242,7.0000,7.7068,0.0967,0.00,0.00,WAITING,Press Start to begin
0.259,7.0000,7.7068,0.0963,0.00,0.00,WAITING,Press Start to begin
0.274,7.0000,7.7068,0.0959,0.00,0.00,WAITING,Press Start to begin
0.291,7.0000,7.7068,0.0954,0.00,0.00,WAITING,Press Start to begin
0.307,7.0000,7.7068,0.0950,0.00,0.00,WAITING,Press Start to begin
0.323,7.0000,7.7068,0.0945,0.00,0.00,WAITING,Press Start to begin
0.339,7.0000,7.7068,0.0940,0.00,0.00,WAITING,Press Start to begin
0.355,7.0000,7.7068,0.0935,0.00,0.00,WAITING,Press Start to begin
0.371,7.0000,7.7068,0.0929,0.00,0.00,WAITING,Press Start to begin
0.388,7.0000,7.7068,0.0923,0.00,0.00,WAITING,Press Start to begin
0.403,7.0000,7.7068,0.0918,0.00,0.00,WAITING,Press Start to begin
0.420,7.0000,7.7068,0.0911,0.00,0.00,WAITING,Press Start to begin
0.435,7.0000,7.7068,0.0905,0.00,0.00,WAITING,Press Start to begin
0.452,7.0000,7.7068,0.0898,0.00,0.00,WAITING,Press Start to begin
0.468,7.0000,7.7068,0.0892,0.00,0.00,WAITING,Press Start to begin
0.484,7.0000,7.7068,0.0885,0.00,0.00,WAITING,Press Start to begin
0.500,7.0000,7.7068,0.0878,0.00,0.00,WAITING,Press Start to begin
0.516,7.0000,7.7068,0.0870,0.00,0.00,WAITING,Press Start to begin
0.561,7.0000,7.7068,0.0848,0.00,0.00,WAITING,Press Start to begin
0.578,7.0000,7.7068,0.0840,0.00,0.00,WAITING,Press Start to begin
0.593,7.0000,7.7068,0.0832,0.00,0.00,WAITING,Press Start to begin
0.610,7.0000,7.7068,0.0824,0.00,0.00,WAITING,Press Start to begin
0.625,7.0000,7.7068,0.0815,0.00,0.00,WAITING,Press Start to begin
0.641,7.0000,7.7068,0.0806,0.00,0.00,WAITING,Press Start to begin
0.657,7.0000,7.7068,0.0797,0.00,0.00,WAITING,Press Start to begin
0.673,7.0000,7.7068,0.0788,0.00,0.00,WAITING,Press Start to begin
0.690,7.0000,7.7068,0.0778,0.00,0.00,WAITING,Press Start to begin
0.707,7.0000,7.7068,0.0769,0.00,0.00,WAITING,Press Start to begin
0.722,7.0000,7.7068,0.0759,0.00,0.00,WAITING,Press Start to begin
0.739,7.0000,7.7068,0.0749,0.00,0.00,WAITING,Press Start to begin
0.754,7.0000,7.7068,0.0740,0.00,0.00,WAITING,Press Start to begin
0.771,7.0000,7.7068,0.0730,0.00,0.00,WAITING,Press Start to begin
0.786,7.0000,7.7068,0.0719,0.00,0.00,WAITING,Press Start to begin
0.803,7.0000,7.7068,0.0709,0.00,0.00,WAITING,Press Start to begin
0.818,7.0000,7.7068,0.0699,0.00,0.00,WAITING,Press Start to begin
0.835,7.0000,7.7068,0.0688,0.00,0.00,WAITING,Press Start to begin
0.850,7.0000,7.7068,0.0678,0.00,0.00,WAITING,Press Start to begin
0.867,7.0000,7.7068,0.0667,0.00,0.00,WAITING,Press Start to begin
0.882,7.0000,7.7068,0.0656,0.00,0.00,WAITING,Press Start to begin
0.898,7.0000,7.7068,0.0645,0.00,0.00,WAITING,Press Start to begin
0.914,7.0000,7.7068,0.0633,0.00,0.00,WAITING,Press Start to begin
0.930,7.0000,7.7068,0.0622,0.00,0.00,WAITING,Press Start to begin
0.946,7.0000,7.7068,0.0610,0.00,0.00,WAITING,Press Start to begin
0.962,7.0000,7.7068,0.0599,0.00,0.00,WAITING,Press Start to begin
0.978,7.0000,7.7068,0.0587,0.00,0.00,WAITING,Press Start to begin
0.994,7.0000,7.7068,0.0575,0.00,0.00,WAITING,Press Start to begin
1.011,7.0000,7.7068,0.0562,0.00,0.00,WAITING,Press Start to begin
1.028,7.0000,7.7068,0.0550,0.00,0.00,WAITING,Press Start to begin
1.073,7.0000,7.7068,0.0514,0.00,0.00,WAITING,Press Start to begin
1.090,7.0000,7.7068,0.0501,0.00,0.00,WAITING,Press Start to begin
1.105,7.0000,7.7068,0.0489,0.00,0.00,WAITING,Press Start to begin
1.122,7.0000,7.7068,0.0476,0.00,0.00,WAITING,Press Start to begin
1.137,7.0000,7.7068,0.0463,0.00,0.00,WAITING,Press Start to begin
1.154,7.0000,7.7068,0.0450,0.00,0.00,WAITING,Press Start to begin
1.169,7.0000,7.7068,0.0437,0.00,0.00,WAITING,Press Start to begin
1.186,7.0000,7.7068,0.0424,0.00,0.00,WAITING,Press Start to begin
1.201,7.0000,7.7068,0.0410,0.00,0.00,WAITING,Press Start to begin
1.218,7.0000,7.7068,0.0396,0.00,0.00,WAITING,Press Start to begin
1.234,7.0000,7.7068,0.0382,0.00,0.00,WAITING,Press Start to begin
1.251,7.0000,7.7068,0.0369,0.00,0.00,WAITING,Press Start to begin
1.266,7.0000,7.7068,0.0355,0.00,0.00,WAITING,Press Start to begin
1.282,7.0000,7.7068,0.0341,0.00,0.00,WAITING,Press Start to begin
1.299,7.0000,7.7068,0.0328,0.00,0.00,WAITING,Press Start to begin
1.314,7.0000,7.7068,0.0314,0.00,0.00,WAITING,Press Start to begin
1.330,7.0000,7.7068,0.0300,0.00,0.00,WAITING,Press Start to begin
1.347,7.0000,7.7068,0.0286,0.00,0.00,WAITING,Press Start to begin
1.362,7.0000,7.7068,0.0271,0.00,0.00,WAITING,Press Start to begin
1.379,7.0000,7.7068,0.0257,0.00,0.00,WAITING,Press Start to begin
1.394,7.0000,7.7068,0.0243,0.00,0.00,WAITING,Press Start to begin
1.410,7.0000,7.7068,0.0229,0.00,0.00,WAITING,Press Start to begin
1.426,7.0000,7.7068,0.0214,0.00,0.00,WAITING,Press Start to begin
1.442,7.0000,7.7068,0.0200,0.00,0.00,WAITING,Press Start to begin
1.459,7.0000,7.7068,0.0184,0.00,0.00,WAITING,Press Start to begin
1.476,7.0000,7.7068,0.0169,0.00,0.00,WAITING,Press Start to begin
1.491,7.0000,7.7068,0.0155,0.00,0.00,WAITING,Press Start to begin
1.508,7.0000,7.7068,0.0140,0.00,0.00,WAITING,Press Start to begin
1.523,7.0000,7.7068,0.0125,0.00,0.00,WAITING,Press Start to begin
1.540,7.0000,7.7068,0.0110,0.00,0.00,WAITING,Press Start to begin
1.585,7.0000,7.7068,0.0068,0.00,0.00,WAITING,Press Start to begin
1.601,7.0000,7.7068,0.0053,0.00,0.00,WAITING,Press Start to begin
1.616,7.0000,7.7068,0.0038,0.00,0.00,WAITING,Press Start to begin
1.633,7.0000,7.7068,0.0022,0.00,0.00,WAITING,Press Start to begin
1.648,7.0000,7.7068,0.0007,0.00,0.00,WAITING,Press Start to begin
1.664,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.680,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.697,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.712,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.729,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.744,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.761,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.776,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.792,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.809,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.824,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.840,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.856,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.873,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.889,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.906,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.923,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.938,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.955,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.970,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
1.986,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.003,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.018,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.035,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.051,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.095,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.112,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.127,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.144,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.161,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.177,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.192,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.209,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.224,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.241,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.256,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.273,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.288,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.305,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
2.321,7.0000,7.7068,0.0000,0.00,0.00,WAITING,Press Start to begin
